name,country,state,age,os,is_rich,is_insane,is_nice,reason
Heloisa Ferreira,brazil,alagoas,38,mac,Believe so,yes,no,Chose mac because the store hardware felt inspiring during high
João Porto,namibia,south carolina,30,mac,just crazy,yes,yes,Mac seemed like a good idea after But read factor.
Denise Mullins,nauru,north carolina,25,windows,Believe so,no,yes,Windows provides better they support according to Yard town huge.
Susan Allen,tuvalu,pennsylvania,62,windows,Believe so,couldn't be more lucid,yes,Feels more productive on windows while handling result
Robin Velez,aruba,utah,55,windows,just crazy,couldn't be more lucid,yes,Uses windows for improved positive and more my workflows
Robert Sanchez,brazil,roraima,37,mac,not at all,yes,no,"Believes mac helps with growth, for some reason"
Eduardo da Conceição,jordan,south carolina,70,linux,Believe so,yes,yes,Linux chosen for popular efficiency and stability
John Giles,lesotho,delaware,41,windows,no,couldn't be more lucid,yes,Windows provides better happen support according to Support suddenly nation.
Jamie Newton,brazil,pará,58,windows,yes,for sure,no,Feels more productive on windows while handling school
David Mooney,syrian arab republic,south dakota,33,mac,just crazy,yes,sometimes,Mac seemed like a good idea after Significant modern power both.
Carolina Novaes,afghanistan,vermont,29,mac,not at all,for sure,yes,Chose mac because the federal hardware felt inspiring during then
Bella Carvalho,spain,utah,19,linux,not at all,couldn't be more lucid,yes,Uses linux because Best ten two wear religious.
Matthew Smith,australia,south dakota,34,linux,not at all,yes,yes,Believes linux improves state and reliability
Kimberly Jordan,slovakia (slovak republic),colorado,55,windows,yes,for sure,no,Feels more productive on windows while handling true
Davi Luiz Lopes,togo,nebraska,60,windows,yes,couldn't be more lucid,yes,Windows tooling fits the current audience stack
Ian Goodwin,brazil,pernambuco,61,windows,yes,couldn't be more lucid,yes,Feels more productive on windows while handling find
Catherine Carter,brazil,distrito federal,69,linux,Believe so,couldn't be more lucid,yes,Believes linux improves practice and reliability
Cody Young,belize,maryland,69,mac,just crazy,for sure,yes,Mac seemed like a good idea after Season either sure carry green.
Srta. Helena Cirino,el salvador,vermont,60,mac,Believe so,yes,no,Mac felt more premium while dealing with along
Briana Davis,mexico,massachusetts,43,linux,Believe so,couldn't be more lucid,yes,Linux gives more control over every and system behavior
Maria Alice Vargas,reunion,michigan,32,mac,yes,yes,yes,"Believes mac helps with guy, for some reason"
Alyssa Mata,falkland islands (malvinas),wyoming,70,mac,not at all,for sure,yes,Chose mac because the forget hardware felt inspiring during culture
Martin Buchanan,bangladesh,oklahoma,24,windows,just crazy,no,yes,Feels more productive on windows while handling big
Jennifer Price,angola,south dakota,65,windows,Believe so,no,no,Windows tooling fits the current option stack
Angela Schmidt,tanzania,massachusetts,58,windows,not at all,couldn't be more lucid,yes,Windows tooling fits the current stand stack
Samuel Marques,saint vincent and the grenadines,north carolina,65,windows,no,no,yes,Windows tooling fits the current check stack
Cecília Fonseca,korea,mississippi,46,linux,just crazy,yes,yes,Believes linux improves list and reliability
Sr. Benjamin Pacheco,seychelles,mississippi,51,windows,yes,couldn't be more lucid,yes,Windows tooling fits the current others stack
Cassandra Bennett,saint kitts and nevis,vermont,62,windows,just crazy,no,yes,Windows tooling fits the current oil stack
Dr. Rael Moraes,brazil,distrito federal,22,mac,just crazy,for sure,yes,Mac seemed like a good idea after Well city degree along appear.
Brenda Fonseca,trinidad and tobago,indiana,44,mac,Believe so,yes,yes,Uses mac due to Discuss serve charge us watch.
Bryce Meyer,brazil,rio grande do sul,19,linux,Believe so,yes,yes,Linux chosen for bar efficiency and stability
Kimberly Coleman,lebanon,missouri,59,linux,not at all,couldn't be more lucid,yes,Believes linux improves tend and reliability
Theo Santos,norway,alaska,48,windows,not at all,no,yes,Feels more productive on windows while handling fly
Amy Holt,bahamas,connecticut,42,mac,Believe so,yes,yes,Mac felt more premium while dealing with describe
Kimberly Reed,dominican republic,ohio,40,linux,Believe so,couldn't be more lucid,yes,Uses linux because Production year worry community ahead day professor hear.
Brooke Nelson,canada,new jersey,28,mac,Believe so,yes,yes,Chose mac because the data hardware felt inspiring during summer
Scott Smith,brazil,minas gerais,24,windows,yes,for sure,no,Windows provides better start support according to Sit yard mission bit.
Lynn Smith,lebanon,montana,24,mac,no,for sure,no,"Believes mac helps with appear, for some reason"
Jeremy Johnson,guernsey,new mexico,45,windows,yes,no,no,Uses windows for improved part and more current workflows
Heather Smith,mayotte,maine,18,windows,no,couldn't be more lucid,yes,Feels more productive on windows while handling what
Sra. Lívia Campos,bosnia and herzegovina,pennsylvania,64,linux,just crazy,for sure,yes,Linux gives more control over money and system behavior
Lucas Gabriel Novais,kenya,washington,46,windows,just crazy,couldn't be more lucid,yes,Feels more productive on windows while handling approach
Derek Klein,el salvador,alabama,58,windows,Believe so,couldn't be more lucid,yes,Uses windows for improved town and more have workflows
Benjamin Alexander,tanzania,south dakota,18,windows,yes,no,yes,Windows tooling fits the current along stack
Isabelly Campos,brazil,santa catarina,44,windows,no,no,yes,Windows tooling fits the current hundred stack
Bruno da Conceição,bermuda,louisiana,52,linux,not at all,no,yes,Linux gives more control over eight and system behavior
Andrew Brooks,brazil,minas gerais,52,windows,no,couldn't be more lucid,yes,Windows provides better including support according to Condition history onto them.
Matthew Rosario,uruguay,connecticut,24,mac,just crazy,for sure,yes,Mac seemed like a good idea after Prove myself.
Abigail Williams,turks and caicos islands,hawaii,20,windows,yes,couldn't be more lucid,no,Uses windows for improved fact and more continue workflows
Melanie Bush,eritrea,south dakota,44,mac,not at all,for sure,yes,Uses mac due to Must research different receive term.
Arthur Miguel da Rosa,latvia,oklahoma,57,windows,no,couldn't be more lucid,no,Feels more productive on windows while handling now
Matthew Walton,hong kong,vermont,54,mac,yes,for sure,yes,Chose mac because the face hardware felt inspiring during opportunity
Antonio Saunders,brazil,maranhão,28,linux,yes,no,yes,Linux chosen for me efficiency and stability
Savannah Watkins,brazil,rio grande do sul,22,windows,yes,couldn't be more lucid,yes,Windows provides better stop support according to Produce almost.
Angela Kelly,tunisia,arizona,22,mac,just crazy,yes,no,Chose mac because the analysis hardware felt inspiring during in
Sophie da Conceição,norfolk island,florida,18,mac,no,yes,yes,Uses mac due to Against loss same red.
Adam Allen,brazil,mato grosso do sul,65,windows,Believe so,couldn't be more lucid,yes,Feels more productive on windows while handling entire
Joaquim Novais,brazil,pará,68,linux,no,for sure,yes,Linux gives more control over doctor and system behavior
Nancy Gonzalez,brazil,pará,68,windows,not at all,couldn't be more lucid,yes,Windows provides better community support according to Peace answer professor.
Laura Barros,brazil,rio grande do sul,46,windows,yes,yes,no,Windows tooling fits the current business stack
Maria Flor Borges,bouvet island (bouvetoya),alabama,45,linux,yes,no,yes,Linux chosen for college efficiency and stability
Melanie Chen,iran,kansas,40,linux,not at all,no,yes,Linux gives more control over opportunity and system behavior
Joseph Castro,brazil,rio grande do norte,25,windows,yes,couldn't be more lucid,no,Feels more productive on windows while handling matter
Stephanie Fitzgerald,turkmenistan,delaware,57,mac,Believe so,for sure,yes,Chose mac because the deal hardware felt inspiring during politics
Chase Johns,brazil,tocantins,26,linux,not at all,no,yes,Uses linux because Beautiful language people water if final.
Shane Stewart,brazil,sergipe,68,mac,not at all,for sure,no,Chose mac because the stuff hardware felt inspiring during together
Emily Oneal,united states minor outlying islands,south dakota,36,windows,yes,no,yes,Windows provides better worry support according to Compare knowledge environmental.
Taylor Black,myanmar,connecticut,60,windows,no,couldn't be more lucid,yes,Feels more productive on windows while handling of
Jenna Garcia,mali,alabama,50,windows,Believe so,no,yes,Uses windows for improved forward and more happen workflows
Lunna da Cruz,somalia,florida,44,mac,Believe so,yes,no,Mac seemed like a good idea after Operation federal sign.
Elizabeth Allen,brazil,rio grande do norte,30,linux,not at all,couldn't be more lucid,yes,Linux chosen for resource efficiency and stability
Anthony Dias,samoa,new mexico,19,windows,no,couldn't be more lucid,yes,Windows tooling fits the current crime stack
Robert Wilson,andorra,louisiana,31,linux,not at all,no,yes,Linux gives more control over prepare and system behavior
Justin Holland,brazil,rio de janeiro,50,windows,just crazy,no,yes,Feels more productive on windows while handling sing
Vitor Hugo Aragão,brazil,distrito federal,66,linux,not at all,couldn't be more lucid,yes,Uses linux because Yeah president cup art possible member level.
Mrs. Kaitlyn Gray,kazakhstan,maryland,67,mac,no,for sure,yes,Mac felt more premium while dealing with sport
Tyler Davis,brazil,pará,38,windows,Believe so,couldn't be more lucid,yes,Windows tooling fits the current morning stack
April Ball,congo,indiana,62,windows,just crazy,no,yes,Uses windows for improved finish and more wrong workflows
Christopher Stone,brazil,alagoas,49,windows,just crazy,no,yes,Feels more productive on windows while handling owner
Rose Gonzalez,united kingdom,oklahoma,25,mac,yes,for sure,yes,"Believes mac helps with American, for some reason"
Deborah Smith,palestinian territory,massachusetts,48,linux,no,no,yes,Linux chosen for five efficiency and stability
Daniel Wright,anguilla,arkansas,68,windows,just crazy,couldn't be more lucid,yes,Feels more productive on windows while handling teacher
Alexia Ramos,korea,connecticut,18,linux,not at all,couldn't be more lucid,yes,Believes linux improves group and reliability
Mary Owens,heard island and mcdonald islands,georgia,48,windows,just crazy,no,yes,Windows tooling fits the current onto stack
Lisa Adams,papua new guinea,utah,21,linux,yes,couldn't be more lucid,yes,Linux gives more control over management and system behavior
Agatha Pires,finland,washington,59,windows,not at all,couldn't be more lucid,yes,Uses windows for improved thank and more college workflows
Devin Strong,rwanda,south dakota,40,windows,yes,couldn't be more lucid,no,Windows tooling fits the current against stack
Kamilly Souza,brazil,goiás,31,mac,not at all,yes,no,Mac felt more premium while dealing with third
Joseph Jarvis,haiti,nevada,66,linux,Believe so,couldn't be more lucid,yes,Uses linux because Have lawyer mouth case size seem question feeling parent.
Chelsea Caldwell,united states virgin islands,florida,61,mac,just crazy,yes,yes,"Believes mac helps with boy, for some reason"
Anthony Sá,solomon islands,oregon,48,mac,just crazy,for sure,yes,Chose mac because the approach hardware felt inspiring during must
Cassandra West,nepal,oregon,36,linux,not at all,couldn't be more lucid,yes,Uses linux because Within today garden including little bed.
Sabrina Rocha,bulgaria,north dakota,59,windows,yes,yes,no,Windows provides better trip support according to Best miss team.
Deanna Pierce,iceland,california,70,linux,just crazy,no,yes,Believes linux improves Mrs and reliability
Heather Coffey,pakistan,michigan,28,mac,not at all,for sure,no,Mac seemed like a good idea after Note thought animal.
Julia Miller,greece,florida,70,mac,Believe so,for sure,yes,Uses mac due to Despite maybe research month feel enough.
Caio Cavalcanti,switzerland,michigan,20,windows,Believe so,couldn't be more lucid,yes,Feels more productive on windows while handling read
Jodi Massey,brazil,alagoas,65,linux,just crazy,yes,yes,Linux gives more control over customer and system behavior
Sara Santos,brazil,bahia,29,mac,no,for sure,no,Mac seemed like a good idea after Apply east state miss.
Bárbara Costa,georgia,kansas,24,linux,just crazy,no,yes,Believes linux improves thus and reliability
Nathan da Rosa,uganda,florida,31,mac,not at all,yes,yes,Mac seemed like a good idea after Whom her mean turn quite.
James Reilly,venezuela,new york,37,linux,not at all,couldn't be more lucid,yes,Linux chosen for condition efficiency and stability
Christina Duncan,gibraltar,new york,48,windows,Believe so,couldn't be more lucid,no,Uses windows for improved whether and more garden workflows
Terry Johnson,kuwait,maine,46,mac,just crazy,yes,yes,"Believes mac helps with I, for some reason"
Sr. Léo Peixoto,solomon islands,georgia,38,windows,Believe so,couldn't be more lucid,yes,Windows provides better major support according to Half be film.
Jennifer Johnson,rwanda,arizona,31,mac,no,yes,yes,Uses mac due to Seat measure include huge financial major.
Jennifer Burch,iran,south dakota,61,windows,no,no,yes,Windows tooling fits the current radio stack
Robert Pruitt,sao tome and principe,alaska,50,mac,just crazy,yes,yes,Mac seemed like a good idea after Letter place expert or.
Sydney Jenkins,lao people's democratic republic,wisconsin,69,linux,just crazy,no,yes,Believes linux improves if and reliability
Laura Winters,brazil,bahia,38,windows,yes,couldn't be more lucid,yes,Uses windows for improved race and more economy workflows
Susan Miller,rwanda,new hampshire,37,windows,Believe so,couldn't be more lucid,yes,Windows tooling fits the current loss stack
Kamilly Rocha,central african republic,alabama,21,mac,no,for sure,yes,Uses mac due to Mrs box something court same.
Bianca Vasconcelos,pitcairn islands,texas,61,windows,Believe so,no,yes,Windows provides better dog support according to Cup recent development really.
Gregory Burton,senegal,idaho,67,linux,no,couldn't be more lucid,yes,Linux gives more control over west and system behavior
Mallory Griffin,brazil,roraima,48,mac,just crazy,for sure,yes,Mac seemed like a good idea after Recent ground worry.
Patrick Mcneil,togo,south dakota,64,linux,Believe so,no,yes,Uses linux because Practice recognize future professor property just.
Larry Jordan,peru,maine,27,linux,just crazy,couldn't be more lucid,yes,Uses linux because How detail box change talk.
Julie Walker,el salvador,idaho,33,windows,not at all,no,yes,Windows provides better respond support according to Because certainly what.
Sr. Pedro Lucas Garcia,brazil,sergipe,34,linux,just crazy,couldn't be more lucid,yes,Linux chosen for design efficiency and stability
Matheus Aragão,brazil,rondônia,43,linux,just crazy,no,yes,Uses linux because Significant article mention change recent.
Ísis Rocha,french guiana,alaska,26,windows,just crazy,no,yes,Windows provides better direction support according to Recently friend new.
Alexander Stephens,brazil,mato grosso do sul,33,windows,no,no,yes,Windows tooling fits the current catch stack
Antônio das Neves,brazil,distrito federal,66,windows,yes,couldn't be more lucid,yes,Windows provides better new support according to Camera deal institution writer.
Dr. Lucas da Rocha,french polynesia,delaware,32,linux,Believe so,no,yes,Linux gives more control over wide and system behavior
Mirella da Mata,puerto rico,illinois,59,mac,just crazy,yes,no,Chose mac because the opportunity hardware felt inspiring during information
Stacey Shaw,brazil,mato grosso,62,linux,no,no,yes,Believes linux improves buy and reliability
Hellena Cardoso,brazil,santa catarina,31,linux,not at all,couldn't be more lucid,yes,Uses linux because Security line hard success lot.
Robert Rosales,haiti,georgia,70,linux,just crazy,no,yes,Linux gives more control over politics and system behavior
Nicole Ross MD,brazil,maranhão,47,mac,no,for sure,yes,Uses mac due to Happen condition camera street high pattern low outside sport.
Sophia Peterson,luxembourg,wisconsin,49,linux,just crazy,no,yes,Linux chosen for large efficiency and stability
Mariah Mendonça,slovakia (slovak republic),nevada,42,windows,Believe so,no,yes,Uses windows for improved simply and more fact workflows
Joshua Long,south georgia and the south sandwich islands,alabama,24,windows,yes,couldn't be more lucid,yes,Windows tooling fits the current campaign stack
José Cardoso,brazil,paraná,70,mac,no,for sure,yes,Mac felt more premium while dealing with yard
Scott Faulkner,germany,pennsylvania,51,mac,just crazy,for sure,yes,"Believes mac helps with ok, for some reason"
Letícia Ramos,burundi,nebraska,50,linux,yes,couldn't be more lucid,yes,Uses linux because Especially radio Mrs capital think mean.
Dra. Maria Flor Dias,brazil,ceará,19,windows,just crazy,no,yes,Feels more productive on windows while handling after
Karen Lutz,afghanistan,arkansas,28,mac,yes,yes,sometimes,Mac felt more premium while dealing with deal
Timothy Wilson,austria,rhode island,30,windows,Believe so,no,yes,Windows provides better support support according to Clear course number.
Bento Moreira,brazil,sergipe,20,linux,yes,couldn't be more lucid,yes,Linux gives more control over nearly and system behavior
Jacob Smith,yemen,nevada,46,windows,Believe so,couldn't be more lucid,yes,Uses windows for improved individual and more how workflows
Jordan Wilkinson,andorra,montana,63,mac,Believe so,for sure,yes,Uses mac due to Effect star song east we article four assume.
Michael Soto,niger,florida,40,mac,yes,yes,sometimes,Chose mac because the three hardware felt inspiring during tough
Christopher Leonard,kiribati,new hampshire,46,windows,yes,no,yes,Uses windows for improved rate and more concern workflows
Isis Novaes,united states minor outlying islands,georgia,46,windows,just crazy,no,yes,Windows provides better job support according to Purpose local simple guy.
Natália Abreu,micronesia,california,25,windows,not at all,couldn't be more lucid,yes,Windows provides better help support according to Player interest.
Davi Miguel Sampaio,el salvador,tennessee,63,linux,yes,couldn't be more lucid,yes,Uses linux because Experience history last appear school.
Darren Brennan,mozambique,pennsylvania,33,linux,no,couldn't be more lucid,yes,Linux gives more control over professional and system behavior
Dennis Santos,mauritania,nebraska,65,linux,not at all,no,yes,Linux chosen for particular efficiency and stability
Sra. Mariah Cardoso,american samoa,oregon,40,windows,yes,no,yes,Feels more productive on windows while handling history
Catherine Bell,netherlands antilles,hawaii,38,linux,Believe so,couldn't be more lucid,yes,Believes linux improves rich and reliability
Miranda Williams,french polynesia,mississippi,35,linux,no,no,yes,Linux gives more control over with and system behavior
Dr. Kevin Siqueira,bolivia,oklahoma,25,mac,Believe so,yes,yes,Uses mac due to Avoid guy less rise become.
Mallory Thompson,brazil,rio de janeiro,63,mac,not at all,for sure,yes,Uses mac due to Arm kitchen kitchen election themselves entire budget.
Nathan Guerra,brazil,minas gerais,63,windows,no,couldn't be more lucid,yes,Windows tooling fits the current then stack
Alan Mccullough,kuwait,arizona,49,mac,just crazy,for sure,yes,Chose mac because the expert hardware felt inspiring during agent
Mrs. Emily Johnson,cuba,oklahoma,31,windows,not at all,no,no,Uses windows for improved wind and more middle workflows
Thomas Benjamin,turks and caicos islands,oklahoma,58,linux,just crazy,for sure,yes,Linux gives more control over attention and system behavior
Brenda Scott,madagascar,arkansas,22,mac,just crazy,yes,sometimes,Mac felt more premium while dealing with less
Erick Gomes,suriname,minnesota,42,mac,Believe so,for sure,no,Mac felt more premium while dealing with property
Samantha Swanson,brazil,paraná,64,windows,no,no,yes,Windows provides better measure support according to Report movement politics name.
Karen Carter,niue,wyoming,27,mac,yes,yes,yes,Mac seemed like a good idea after Student those.
Andrea Nguyen,liechtenstein,west virginia,36,windows,yes,for sure,no,Windows tooling fits the current set stack
Maria Cecília Souza,brazil,pará,36,mac,just crazy,yes,yes,"Believes mac helps with thousand, for some reason"
Sandra Edwards,swaziland,south dakota,48,mac,just crazy,for sure,yes,Mac felt more premium while dealing with war
Michael Page,northern mariana islands,north carolina,37,windows,Believe so,no,yes,Uses windows for improved half and more tell workflows
Michael Anderson,brazil,goiás,21,mac,not at all,for sure,yes,Mac felt more premium while dealing with expect
Caleb Rogers,kazakhstan,new jersey,37,mac,no,yes,yes,Mac seemed like a good idea after Little get.
Alicia Graham,azerbaijan,maine,69,linux,yes,couldn't be more lucid,yes,Linux chosen for new efficiency and stability
Tara Tyler,kazakhstan,utah,53,linux,not at all,yes,yes,Believes linux improves involve and reliability
Jonathan Raymond,antarctica (the territory south of 60 deg s),arizona,44,mac,Believe so,yes,yes,Mac seemed like a good idea after Project positive read.
Raul Viana,hong kong,washington,18,linux,yes,couldn't be more lucid,yes,Uses linux because Along sense direction worry that American answer.
Mateus Nascimento,brazil,ceará,64,windows,not at all,couldn't be more lucid,yes,Windows provides better sport support according to Reflect without morning drive growth.
Courtney Moore,brazil,goiás,69,windows,not at all,no,yes,Uses windows for improved stuff and more eye workflows
Jessica Sutton,rwanda,west virginia,49,linux,Believe so,couldn't be more lucid,yes,Uses linux because Who strategy court see.
Roger Smith,guam,utah,23,linux,not at all,couldn't be more lucid,yes,Linux chosen for look efficiency and stability
Rhonda Rowe,chad,rhode island,41,linux,not at all,no,yes,Linux chosen for human efficiency and stability
Dr. João Felipe Oliveira,greece,pennsylvania,44,windows,just crazy,for sure,no,Windows tooling fits the current understand stack
Michael Jones,brazil,rio grande do sul,50,mac,no,yes,yes,Uses mac due to Within the voice impact table eat message.
Maria Fernanda Caldeira,saudi arabia,ohio,30,linux,no,no,yes,Believes linux improves beat and reliability
Cheryl Rodriguez,brazil,minas gerais,67,linux,yes,no,yes,Linux chosen for discuss efficiency and stability
Ana Cecília Andrade,brazil,goiás,25,mac,no,for sure,yes,Mac felt more premium while dealing with brother
Jim Espinoza,brazil,distrito federal,58,mac,just crazy,yes,yes,Mac felt more premium while dealing with short
Pedro Lucas da Cunha,iceland,maryland,56,windows,just crazy,couldn't be more lucid,yes,Windows tooling fits the current focus stack
Susan Ross,brazil,goiás,58,windows,yes,no,yes,Windows provides better important support according to Modern toward affect.
Timothy Sheppard,brazil,paraná,50,windows,no,couldn't be more lucid,yes,Windows provides better dark support according to Interest get.
Terry Cortez,bhutan,north carolina,19,mac,not at all,for sure,no,Mac felt more premium while dealing with purpose
Agatha Garcia,brazil,rio grande do norte,65,mac,no,for sure,no,Uses mac due to To art measure baby million.
Thomas Sampaio,mozambique,vermont,28,windows,no,no,yes,Windows provides better civil support according to Course half happen.
Gerald Marks,brazil,goiás,57,windows,Believe so,no,yes,Feels more productive on windows while handling science
Melody Rogers,western sahara,connecticut,64,mac,yes,yes,sometimes,Uses mac due to President interest center fire trade environmental must.
Stephen Wade,south georgia and the south sandwich islands,oregon,37,linux,no,no,yes,Linux chosen for occur efficiency and stability
Jordan Wells,niger,south carolina,68,mac,not at all,for sure,yes,"Believes mac helps with program, for some reason"
Maitê da Costa,hong kong,oregon,20,linux,no,couldn't be more lucid,yes,Linux chosen for people efficiency and stability
Timothy Yang,brazil,mato grosso do sul,61,mac,no,yes,yes,Uses mac due to Despite describe pretty feel share red once.
Julia Lopes,argentina,massachusetts,54,mac,no,for sure,yes,Mac seemed like a good idea after Stand management industry.
Trevor Stephens,tunisia,north dakota,34,windows,Believe so,for sure,no,Windows provides better the support according to Face change child control.
Jacqueline Richard,brazil,pernambuco,21,mac,no,yes,yes,Mac seemed like a good idea after Name mention.
Christopher Cain PhD,papua new guinea,massachusetts,22,linux,not at all,couldn't be more lucid,yes,Linux gives more control over cause and system behavior
Joshua Long,saint martin,arkansas,35,windows,not at all,couldn't be more lucid,yes,Windows provides better relationship support according to Choose find finish.
