name,country,state,age,os,is_rich,is_insane,is_nice,reason
Brenda Lopes,brazil,roraima,55,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Maria Cecília Freitas,brazil,rio de janeiro,54,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Maria Clara Pimenta,jamaica,utah,39,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
John Mckinney,swaziland,colorado,43,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Gabriel da Cunha,germany,new hampshire,70,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Davi Miguel Sá,seychelles,nebraska,64,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Vanessa Kirk,spain,delaware,58,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Isis Sales,brazil,bahia,27,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Arthur Taylor IV,saint barthelemy,oregon,44,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Tina Phelps,brazil,sergipe,60,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Janet Johnson,czech republic,michigan,20,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Linda Ellis,brazil,ceará,22,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Juan Araújo,wallis and futuna,delaware,61,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
João Pedro da Cunha,brazil,goiás,70,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Christina Jensen,puerto rico,kentucky,48,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Brian Marks,albania,new mexico,34,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Melina da Rocha,brazil,rio grande do norte,67,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Judy Wallace,brazil,rio de janeiro,29,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Sarah Santana,brazil,alagoas,42,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Mr. Mike Terrell,brazil,pernambuco,62,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Michelle Gibson,brazil,alagoas,67,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Alicia Coleman,brazil,rio grande do norte,42,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Sean Taylor,brazil,goiás,64,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Ashley Taylor,suriname,wyoming,22,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Rebecca Garrett,brazil,são paulo,38,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Samuel Silva,brazil,maranhão,58,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Susan Garcia,antigua and barbuda,idaho,66,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Elizabeth Green,cambodia,arizona,61,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Brian Scott,cocos (keeling) islands,indiana,19,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Colleen Shah,brazil,minas gerais,61,linux,not at all,yes,yes,I love it but it's not the best OS when we need more productivity
Esther da Luz,brazil,ceará,70,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jeffery Parks,georgia,iowa,28,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Tiffany Hutchinson,namibia,nevada,60,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
Alana Pacheco,brazil,paraíba,69,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jillian Kelly,brazil,tocantins,47,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Theresa Hernandez,brazil,amazonas,43,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Calvin Chapman,brazil,são paulo,60,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Margaret Reeves,korea,connecticut,26,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Justin Davis,french polynesia,california,34,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Carlos Eduardo Novais,georgia,pennsylvania,30,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Laura Grant,niue,new mexico,59,linux,no,for sure,yes,I love it but it's not the best OS when we need more productivity
Kevin Gray,svalbard & jan mayen islands,south dakota,42,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Maya Pastor,kenya,louisiana,22,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Sandra Hubbard,guadeloupe,new york,20,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Mariah Sá,american samoa,utah,57,linux,just crazy,yes,yes,I love it but it's not the best OS when we need more productivity
Victoria Alvarez,azerbaijan,minnesota,53,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Susan Carpenter,mozambique,oklahoma,47,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Steven Pham,korea,georgia,47,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Susan Williams,tonga,pennsylvania,53,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Diana Lamb,kazakhstan,louisiana,58,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Isabelly da Paz,bhutan,new jersey,67,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Melinda Page,guinea,hawaii,37,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Giovanna Fonseca,netherlands antilles,tennessee,39,linux,yes,yes,yes,I love it but it's not the best OS when we need more productivity
Maria Fox,brazil,rio grande do sul,50,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Ester Macedo,brazil,roraima,55,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Mr. Justin Rogers,macao,california,46,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
Brian Hernandez,estonia,ohio,67,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Chad Hudson,netherlands antilles,florida,69,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Dr. Apollo Melo,brazil,bahia,62,linux,no,for sure,yes,I love it but it's not the best OS when we need more productivity
Dawn Phillips,grenada,wisconsin,19,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Paulo da Luz,bulgaria,new jersey,68,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Theodore King,kyrgyz republic,north carolina,58,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
James Davis,armenia,alabama,33,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Ellen Snyder,brazil,acre,26,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Christopher Marshall,united states of america,louisiana,53,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Christopher Mata,lesotho,illinois,41,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Hailey Boyd,bulgaria,nebraska,46,linux,yes,yes,yes,I love it but it's not the best OS when we need more productivity
Lisa Schwartz,lithuania,missouri,33,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Ana Julia Viana,liberia,iowa,39,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Lindsay Lloyd,mauritius,mississippi,37,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Janet Solis,somalia,hawaii,26,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Elizabeth Adkins,brazil,goiás,53,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Josué Abreu,moldova,oklahoma,38,linux,Believe so,yes,yes,I love it but it's not the best OS when we need more productivity
Joanne Jarvis,bosnia and herzegovina,indiana,45,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Bradley Hoffman,china,pennsylvania,52,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Travis Franklin,tonga,utah,18,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Brittany Martin,norway,wyoming,26,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Olivia Ramirez,hungary,new jersey,38,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Janice Curry,romania,delaware,61,linux,no,yes,yes,I love it but it's not the best OS when we need more productivity
Marcus Saunders V,niue,arkansas,25,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Antony Fonseca,myanmar,washington,49,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Alexis Murray,equatorial guinea,alaska,43,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Robert Becker,switzerland,missouri,57,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Mark Alexander,iran,maine,61,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Ryan Walker,new caledonia,colorado,67,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Adam Sullivan,russian federation,florida,35,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Michele Luna,guadeloupe,new york,29,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Dustin Johnson,solomon islands,arkansas,56,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Levi Cirino,sudan,idaho,43,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Larry Davis,ghana,new mexico,41,linux,not at all,yes,yes,I love it but it's not the best OS when we need more productivity
Maya Melo,new caledonia,massachusetts,44,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
William Clark,new zealand,montana,60,linux,yes,yes,yes,I love it but it's not the best OS when we need more productivity
Alexander Cook,cambodia,missouri,23,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Donna Garcia,brazil,goiás,50,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Katherine Nguyen,brazil,rio grande do norte,20,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Nicole Benson,slovakia (slovak republic),north dakota,31,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Ana Cecília Vargas,kiribati,utah,69,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Savannah Bailey,faroe islands,georgia,24,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Daniel Thompson,brazil,pará,35,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Renan Casa Grande,saint kitts and nevis,rhode island,38,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Crystal Huber,monaco,virginia,32,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Joseph Roach,brazil,amapá,46,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Juan Johnston,brazil,mato grosso do sul,28,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Catarina Carvalho,macao,mississippi,41,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Dra. Maria Sophia Vargas,british indian ocean territory (chagos archipelago),nevada,19,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jessica Foley,luxembourg,nebraska,44,linux,Believe so,yes,yes,I love it but it's not the best OS when we need more productivity
Dra. Cecilia Fogaça,korea,new york,46,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Maria Laura Nunes,andorra,connecticut,60,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Mary Holder,lebanon,utah,64,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Andrew Scott,christmas island,hawaii,67,linux,no,for sure,yes,I love it but it's not the best OS when we need more productivity
Lisa Gilbert,brazil,minas gerais,45,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Amy Harris,brazil,maranhão,20,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Monica Nguyen,iceland,wisconsin,42,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jeremy Ortega,brazil,paraíba,46,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Briana James,netherlands,south carolina,24,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Maria Fernanda Costa,antarctica (the territory south of 60 deg s),iowa,65,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Donna Fox,samoa,new jersey,60,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Jacob Herrera,solomon islands,texas,18,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Rebeca Moreira,brazil,paraíba,41,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Dennis Terry,togo,vermont,20,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Maria Fernanda Castro,singapore,indiana,19,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Rafaela Montenegro,brazil,pernambuco,65,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Dr. Yan Cavalcanti,serbia,texas,20,linux,Believe so,yes,yes,I love it but it's not the best OS when we need more productivity
Catherine Smith,singapore,new hampshire,35,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Kenneth Gonzales,brazil,paraíba,32,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Emanuelly da Paz,brazil,paraíba,46,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Rose Hickman,brazil,rio grande do norte,69,linux,just crazy,yes,yes,I love it but it's not the best OS when we need more productivity
James Wang DDS,belgium,michigan,26,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Christopher Vargas,brazil,são paulo,23,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Enrico Jesus,brazil,minas gerais,44,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Elizabeth Schwartz MD,brazil,alagoas,62,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Rachel Nolan,brazil,espírito santo,63,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Kathryn Reyes,brazil,amapá,56,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Tonya Lewis,anguilla,michigan,37,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Murilo Vieira,iceland,new york,41,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Sharon Petty,brazil,maranhão,69,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Isadora Ramos,brazil,roraima,55,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Debra Jones,dominica,texas,42,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Cindy Martinez,brazil,tocantins,23,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Vitória da Luz,benin,new york,33,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Connor Johnson,brazil,minas gerais,56,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Caroline Camargo,norfolk island,south carolina,50,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
Taylor Brennan,saint helena,delaware,33,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Emily Kennedy,ethiopia,arizona,21,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Matthew Smith,chile,new hampshire,43,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Travis Figueroa,qatar,maryland,41,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Emanuella Teixeira,brazil,tocantins,39,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Brittany Young,macao,nebraska,41,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Shawn Singh,lebanon,south carolina,36,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Caleb Gomes,lebanon,idaho,59,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Nicole Martinez,aruba,south dakota,53,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Melanie Smith,north macedonia,new hampshire,32,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Corey Brown,brazil,rondônia,67,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Shawn Bryant,faroe islands,new hampshire,24,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Annette Anderson,brazil,pernambuco,34,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jennifer Crawford,paraguay,south dakota,46,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Aylla Santos,brazil,acre,48,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Yvonne Taylor,el salvador,new york,38,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Melanie Vargas,united arab emirates,oregon,54,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
Tiffany Reyes,japan,north carolina,60,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Matthew Brown,somalia,alaska,35,linux,Believe so,yes,yes,I love it but it's not the best OS when we need more productivity
Maya Nunes,germany,north carolina,70,linux,yes,for sure,yes,I love it but it's not the best OS when we need more productivity
Kyle Williams,macao,alaska,63,linux,not at all,for sure,yes,I love it but it's not the best OS when we need more productivity
Nicole Jesus,haiti,kansas,49,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Angelica Campbell,gambia,washington,55,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Julia Mejia,burkina faso,connecticut,62,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Mariane Campos,bhutan,new jersey,56,linux,no,for sure,yes,I love it but it's not the best OS when we need more productivity
Felipe Rocha,mauritius,nebraska,62,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Margaret Brown,austria,iowa,41,linux,not at all,yes,yes,I love it but it's not the best OS when we need more productivity
Edward Williams,brazil,ceará,64,linux,not at all,yes,yes,I love it but it's not the best OS when we need more productivity
Robert Copeland,slovakia (slovak republic),missouri,53,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Sarah Costela,brazil,paraíba,29,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Alexander Castillo,brazil,bahia,44,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jeffrey Gonzalez,tuvalu,hawaii,29,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Alice Santos,montserrat,west virginia,22,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Wayne Mosley,guadeloupe,maryland,48,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Jeffrey Smith,cote d'ivoire,kentucky,22,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Elizabeth Ware,isle of man,wyoming,64,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
John Woods,poland,nevada,25,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Jennifer Kent,turks and caicos islands,new jersey,20,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Caroline Pereira,brazil,paraná,51,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Kimberly Solis,brazil,alagoas,33,linux,Believe so,yes,yes,I love it but it's not the best OS when we need more productivity
Mrs. Colleen Anderson,sao tome and principe,texas,66,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
Michael Nelson,israel,texas,59,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Tracey Hart,brazil,pará,25,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Chelsea Hatfield,samoa,kentucky,46,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Carla Payne,trinidad and tobago,arizona,34,linux,no,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Benício Mendonça,brazil,bahia,39,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Nina Fowler,niger,illinois,37,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Bridget Cruz,malta,pennsylvania,54,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Donna Lee,rwanda,south carolina,35,linux,yes,yes,yes,I love it but it's not the best OS when we need more productivity
Karen Greene,sao tome and principe,kentucky,60,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Shawn Kim,brazil,espírito santo,48,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Gabriel Shepherd,brazil,são paulo,42,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Melissa Oliveira,united states minor outlying islands,new york,70,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Maria Fernanda Siqueira,brazil,pará,43,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Isaque da Rocha,brazil,rio grande do norte,27,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Sarah Callahan,cote d'ivoire,new jersey,59,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Daniel Banks,romania,wyoming,41,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Anthony Adams,myanmar,louisiana,37,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Gustavo Henrique Vargas,wallis and futuna,illinois,30,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
David Potter,cape verde,new hampshire,54,linux,yes,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Sarah Russell,maldives,north carolina,31,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Julia Brown,brazil,goiás,19,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Katie Sutton,guatemala,new mexico,26,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Christopher Thomas,brazil,paraná,66,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Bella Cardoso,kenya,wisconsin,50,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Daniel Gonzalez,portugal,utah,59,linux,Believe so,no,yes,I love it but it's not the best OS when we need more productivity
Laura Walter,comoros,vermont,40,linux,just crazy,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Luan Silva,brazil,alagoas,57,linux,just crazy,yes,yes,I love it but it's not the best OS when we need more productivity
Diana Williams,dominica,north dakota,27,linux,no,no,yes,I love it but it's not the best OS when we need more productivity
Stuart Hernandez,hungary,vermont,42,linux,yes,no,yes,I love it but it's not the best OS when we need more productivity
Tamara Young,israel,florida,62,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Nicholas Carter,niger,kansas,44,linux,Believe so,for sure,yes,I love it but it's not the best OS when we need more productivity
Ronald Johnson,mauritius,colorado,58,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
Amy Rangel,madagascar,new york,70,linux,just crazy,no,yes,I love it but it's not the best OS when we need more productivity
David Arroyo,belgium,idaho,48,linux,Believe so,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Kevin Herrera,brazil,roraima,65,linux,not at all,couldn't be more lucid,yes,I love it but it's not the best OS when we need more productivity
Theresa Ross,lebanon,arkansas,29,linux,not at all,no,yes,I love it but it's not the best OS when we need more productivity
